State,ActName,Category,Promulgated,Prom_Decade,Enacted,Enact_Decade
Minnesota,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1955,
Mississippi,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1938,
Missouri,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1959,
Montana,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Nebraska,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Nevada,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1967,
New Hampshire,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
New Jersey,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1941,
New Mexico,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
New York,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1936,
North Carolina,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Ohio,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Oklahoma,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1949,
Oregon,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Pennsylvania,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
South Carolina,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1948,
South Dakota,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Tennessee,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1939,
Texas,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1951,
U.S. Virgin Islands,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1957,
Utah,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Vermont,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Virginia,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1938,
Washington,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1943,
West Virginia,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Wisconsin,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1947,
District of Columbia,Business Organizations Code,,2011,,2013,
Virginia,Certificate of Title for Vessels,,2011,,2013,
Colorado,Certification of Questions of Law,,1967,,1969,
Connecticut,Certification of Questions of Law,,1967,,1985,
District of Columbia,Certification of Questions of Law,,1967,,1987,
Florida,Certification of Questions of Law,,1967,,1960,
Iowa,Certification of Questions of Law,,1967,,1979,
Kansas,Certification of Questions of Law,,1967,,1979,
Maine,Certification of Questions of Law,,1967,,1965,
Maryland,Certification of Questions of Law,,1967,,1972,
Massachusetts,Certification of Questions of Law,,1967,,1971,
Minnesota,Certification of Questions of Law,,1967,,1973,
